;Values;Average_difference;Average_value;Std_values;videoid;channel
1;Lightness;0.2933388312386516;64.0340011764706;12.353961960843403;9;Bebefinn
2;Saturation;0.14639082465198525;79.33155237998646;6.851046286595664;9;Bebefinn
0;Hue;0.8978974967452747;283.154526153911;75.13002738985688;10;Bebefinn
1;Lightness;0.13880135089106108;69.98545001012039;10.122149705423142;10;Bebefinn
2;Saturation;0.14049599295634344;76.60759023045561;9.391797724175659;10;Bebefinn
0;Hue;0.9844260208971275;246.77143794171096;78.45480052416862;11;Bebefinn
1;Lightness;0.30523762080564437;72.62565385069689;12.99160536166067;11;Bebefinn
2;Saturation;0.15971663631142835;71.70523544504816;9.921969670007556;11;Bebefinn
0;Hue;1.3968282144761806;278.0441128817958;95.58574464361044;12;Bebefinn
1;Lightness;0.24049442040770405;60.20189514303635;18.04417106727554;12;Bebefinn
2;Saturation;0.23267740648685148;62.73311494041289;17.40217031719535;12;Bebefinn
0;Hue;1.0610874793155958;295.43200342015234;69.35904199039447;13;Bebefinn
1;Lightness;0.20786620956017962;57.27385914749451;11.400791136731925;13;Bebefinn
2;Saturation;0.149717230455443;70.39540633395161;8.829049521949756;13;Bebefinn
0;Hue;0.9269223676126934;275.8203157347866;71.13302520658547;14;Bebefinn
1;Lightness;0.2025894779974339;67.4538029141439;11.312908766910821;14;Bebefinn
2;Saturation;0.1444775742431265;77.21183934262179;7.8615553829367455;14;Bebefinn
0;Hue;0.9574273052998515;305.86448179098016;58.25501971115302;15;Bebefinn
1;Lightness;0.1655137805045775;53.91033852003982;13.307680453120781;15;Bebefinn
2;Saturation;0.155822901530237;66.00466067579646;13.430925562252959;15;Bebefinn
0;Hue;1.1024885295814206;220.5831622175288;94.87835736903916;16;Bebefinn
1;Lightness;0.18095446918900185;59.89893139576272;15.551820969927158;16;Bebefinn
2;Saturation;0.19177908207804753;65.55082070662519;15.890371816613966;16;Bebefinn
0;Hue;1.100775078553089;261.5417612135474;80.47818497323375;17;Bebefinn
1;Lightness;0.14261949136090094;69.98770490869188;8.705854555824668;17;Bebefinn
2;Saturation;0.15906393371784983;65.29531540669916;13.833105128631003;17;Bebefinn
0;Hue;0.8144229219407298;316.57784173230885;64.43691878344755;18;Bebefinn
1;Lightness;0.13501753493324287;62.06301352200073;10.460364273517676;18;Bebefinn
2;Saturation;0.0979205761433198;72.30709391290148;9.824833250170334;18;Bebefinn
0;Hue;0.8363364760275132;299.49792556434784;62.559815902705786;19;Bebefinn
1;Lightness;0.15772022033965702;70.58966753819999;9.418756370509;19;Bebefinn
2;Saturation;0.12525843508464915;78.30295002435655;8.934016746125002;19;Bebefinn
0;Hue;1.3633637842662336;237.60208864226337;102.62434080338973;20;Bebefinn
1;Lightness;0.17102854472990214;61.390917800058936;14.644316473466162;20;Bebefinn
2;Saturation;0.1983033587015487;70.35737412918476;12.837381966267069;20;Bebefinn
0;Hue;1.04846535655603;380.9262751161227;43.64906404518995;1;Bluey
1;Lightness;0.16752181468665894;81.02019115917632;5.710641104002987;1;Bluey
2;Saturation;0.22304487504805848;75.95060145579204;7.914537229585203;1;Bluey
0;Hue;1.237058255488621;325.89888268156426;34.481370279387484;2;Bluey
1;Lightness;0.22461120174007607;70.39587571466942;5.5413665877182785;2;Bluey
2;Saturation;0.1865184531235006;76.17837115485464;6.856867971379407;2;Bluey
0;Hue;0.7138072372018556;309.3254901436284;39.69831343504518;3;Bluey
1;Lightness;0.13610234595015272;61.053133879241;7.279142830572155;3;Bluey
