;type;num_scene_changes;difference;std_count;scene_changes_per_min;time_interval;videoid;channel
59;two_seconds;72;24;22.7596133534821;12.6658624849216;4.67428571428571;12;BabyChaCha
60;all_frames;32;58;24.3926218353009;8.75433157030823;6.76875;13;BabyChaCha
61;half_half_second;86;4;24.3926218353009;8.75433157030823;6.76875;13;BabyChaCha
62;half_second;90;0;24.3926218353009;8.75433157030823;6.76875;13;BabyChaCha
63;per_second;88;2;24.3926218353009;8.75433157030823;6.76875;13;BabyChaCha
64;two_seconds;69;21;24.3926218353009;8.75433157030823;6.76875;13;BabyChaCha
65;all_frames;34;41;16.873055443517;10.8742004264392;5.35529411764706;14;BabyChaCha
66;half_half_second;69;6;16.873055443517;10.8742004264392;5.35529411764706;14;BabyChaCha
67;half_second;75;0;16.873055443517;10.8742004264392;5.35529411764706;14;BabyChaCha
68;per_second;73;2;16.873055443517;10.8742004264392;5.35529411764706;14;BabyChaCha
69;two_seconds;58;17;16.873055443517;10.8742004264392;5.35529411764706;14;BabyChaCha
70;all_frames;31;103;40.7001228499374;9.39393939393939;5.47612903225806;15;BabyChaCha
71;half_half_second;134;0;40.7001228499374;9.39393939393939;5.47612903225806;15;BabyChaCha
72;half_second;122;12;40.7001228499374;9.39393939393939;5.47612903225806;15;BabyChaCha
73;per_second;96;38;40.7001228499374;9.39393939393939;5.47612903225806;15;BabyChaCha
74;two_seconds;77;57;40.7001228499374;9.39393939393939;5.47612903225806;15;BabyChaCha
75;all_frames;36;69;28.9689488935999;10.9912477101567;5.35666666666667;16;BabyChaCha
76;half_half_second;100;5;28.9689488935999;10.9912477101567;5.35666666666667;16;BabyChaCha
77;half_second;105;0;28.9689488935999;10.9912477101567;5.35666666666667;16;BabyChaCha
78;per_second;80;25;28.9689488935999;10.9912477101567;5.35666666666667;16;BabyChaCha
79;two_seconds;58;47;28.9689488935999;10.9912477101567;5.35666666666667;16;BabyChaCha
80;all_frames;33;37;14.3073407731835;11.6745283018868;4.68848484848485;17;BabyChaCha
81;half_half_second;60;10;14.3073407731835;11.6745283018868;4.68848484848485;17;BabyChaCha
82;half_second;70;0;14.3073407731835;11.6745283018868;4.68848484848485;17;BabyChaCha
83;per_second;65;5;14.3073407731835;11.6745283018868;4.68848484848485;17;BabyChaCha
84;two_seconds;58;12;14.3073407731835;11.6745283018868;4.68848484848485;17;BabyChaCha
85;all_frames;27;92;38.8677243995581;10.5716523101018;5.54962962962963;18;BabyChaCha
86;half_half_second;118;1;38.8677243995581;10.5716523101018;5.54962962962963;18;BabyChaCha
87;half_second;119;0;38.8677243995581;10.5716523101018;5.54962962962963;18;BabyChaCha
88;per_second;88;31;38.8677243995581;10.5716523101018;5.54962962962963;18;BabyChaCha
89;two_seconds;64;55;38.8677243995581;10.5716523101018;5.54962962962963;18;BabyChaCha
90;all_frames;40;60;24.3166609549913;12.2749590834697;4.795;19;BabyChaCha
91;half_half_second;100;0;24.3166609549913;12.2749590834697;4.795;19;BabyChaCha
92;half_second;95;5;24.3166609549913;12.2749590834697;4.795;19;BabyChaCha
93;per_second;85;15;24.3166609549913;12.2749590834697;4.795;19;BabyChaCha
94;two_seconds;68;32;24.3166609549913;12.2749590834697;4.795;19;BabyChaCha
95;all_frames;28;36;13.9391534893623;8.79212895122462;6.37428571428571;20;BabyChaCha
