;channel;videoid;length;views;years;url
21;PinkFong;2;132.103448275862;1260714701;8;https://www.youtube.com/watch?v=7DYjfjaZGas
22;PinkFong;3;102.666666666667;1000213756;4;https://www.youtube.com/watch?v=gsw-de5xcCU
23;PinkFong;4;126.034482758621;906416960;5;https://www.youtube.com/watch?v=-fJ_Lvy_LAc
24;PinkFong;5;106.793103448276;896704711;7;https://www.youtube.com/watch?v=ubmiT8JKeRU
25;PinkFong;6;120;755840301;9;https://www.youtube.com/watch?v=R93ce4FZGbc
26;PinkFong;7;77.448275862069;399600064;4;https://www.youtube.com/watch?v=Dybkj4VU2H0
27;PinkFong;8;142.103448275862;397949688;9;https://www.youtube.com/watch?v=gX2gOpgoTgw
28;PinkFong;9;115.458333333333;345466948;6;https://www.youtube.com/watch?v=JYnvpJL-0HA
29;PinkFong;10;136.827586206897;337588761;6;https://www.youtube.com/watch?v=sLFdnqMrGCM
30;PinkFong;11;97.551724137931;330566780;7;https://www.youtube.com/watch?v=nDE3Ff-5zG4
31;PinkFong;12;165.172413793103;293521736;9;https://www.youtube.com/watch?v=S-kJQbq6oaA
32;PinkFong;13;128.655172413793;276656119;7;https://www.youtube.com/watch?v=KyBYuEgvFl0
33;PinkFong;14;128.793103448276;274680585;8;https://www.youtube.com/watch?v=3XWRT0JZd5k
34;PinkFong;15;193.896551724138;259824552;8;https://www.youtube.com/watch?v=d8pqPa7D8Ps
35;PinkFong;16;131.896551724138;223125251;7;https://www.youtube.com/watch?v=eVDGYl0p6nU
36;PinkFong;17;107.965517241379;218337382;5;https://www.youtube.com/watch?v=y3F7tthwdf8
37;PinkFong;18;52.3448275862069;201702754;7;https://www.youtube.com/watch?v=KFKGPOMusZk
38;PinkFong;19;106.137931034483;193391464;7;https://www.youtube.com/watch?v=lR-vzUw8sWo
39;PinkFong;20;129.724137931034;193152473;7;https://www.youtube.com/watch?v=d2S87jXhlV0
40;Bebefinn;1;204.366666666667;620729500;3;https://www.youtube.com/watch?v=kuDzMR6k4R4
41;Bebefinn;2;191.733333333333;435131977;3;https://www.youtube.com/watch?v=qxDuLdfGfW4
42;Bebefinn;3;194.633333333333;281776280;2;https://www.youtube.com/watch?v=m2mfP-AVMgQ
43;Bebefinn;4;218.633333333333;161416462;3;https://www.youtube.com/watch?v=u05ke3nGqU0
44;Bebefinn;5;211.166666666667;143969863;2;https://www.youtube.com/watch?v=qC3kGaTBW7s
45;Bebefinn;6;208.766666666667;132813583;1;https://www.youtube.com/watch?v=Lh93IVFQU-Q
46;Bebefinn;7;208.133333333333;127717105;2;https://www.youtube.com/watch?v=0PNiZflV2JQ
47;Bebefinn;8;197.233333333333;124611073;2;https://www.youtube.com/watch?v=WKXXoPXQHjk
48;Bebefinn;9;208.466666666667;118459318;2;https://www.youtube.com/watch?v=Vk24cZJQTwE
49;Bebefinn;10;199.233333333333;112037326;3;https://www.youtube.com/watch?v=QXMHKfTtah4
50;Bebefinn;11;208.533333333333;99266839;1;https://www.youtube.com/watch?v=oiKji3JjkgY
51;Bebefinn;12;205.1;96223554;3;https://www.youtube.com/watch?v=RLRsSeEPgJY
52;Bebefinn;13;202.9;89678432;2;https://www.youtube.com/watch?v=dzfgTCMl_M8
53;Bebefinn;14;192.4;84001427;2;https://www.youtube.com/watch?v=9F1UObhYxuI
54;Bebefinn;15;197.066666666667;83455519;2;https://www.youtube.com/watch?v=JOKJhCK8JTE
55;Bebefinn;16;191.4;81873561;2;https://www.youtube.com/watch?v=gfEYJG2CfzI
56;Bebefinn;17;193.333333333333;78559440;2;https://www.youtube.com/watch?v=ozDX0kkf8hM
57;Bebefinn;18;203.433333333333;78528514;2;https://www.youtube.com/watch?v=_A2VpvVdlvI
58;Bebefinn;19;199.2;73501616;1;https://www.youtube.com/watch?v=78rSZ9iEQeo
59;Bebefinn;20;180.766666666667;193152473;2;
60;BabyChaCha;1;156.68;60513762;1;https://www.youtube.com/watch?v=QLZmd_6SMnk
61;BabyChaCha;2;198.96;56806361;1;https://www.youtube.com/watch?v=6zSsM-AjG6A
62;BabyChaCha;3;187.6;25307661;1;https://www.youtube.com/watch?v=l_GFIOIUHR0
63;BabyChaCha;4;198;22982096;1;https://www.youtube.com/watch?v=4NIp5H8pchI
64;BabyChaCha;5;196.52;12662411;1;https://www.youtube.com/watch?v=SHbfEwWIKWQ
65;BabyChaCha;6;169.6;6078403;1;https://www.youtube.com/watch?v=O9ZTcTS3mbs
